crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
peas,chalky,germination,24.69,29.16,78.88,19.16,Yes
Large Cardamom,alluvial,flowering,40.67,25.49,55.38,2.78,Yes
Turmeric,clay,maturation,30.29,17.14,87.34,5.15,Yes
bananas,clay,fruit/bulb formation,45.23,24.05,86.33,17.43,Yes
radish,loam,germination,29.45,29.89,82.6,6.88,Yes
Ginger,black,maturation,29.08,27.85,47.69,4.27,Yes
papaya,chalky,flowering,36.09,22.95,74.86,5.06,Yes
Ginger,black,flowering,30.62,20.45,57.12,4.87,Yes
radish,alluvial,germination,36.12,16.25,41.55,2.5,Yes
Maize (corn),alluvial,maturation,19.0,31.66,71.16,0.61,No
Maize (corn),black,maturation,18.17,28.29,57.88,2.88,Yes
orange,alluvial,flowering,44.84,21.86,41.07,0.29,No
bananas,loam,germination,30.16,15.58,52.21,2.59,Yes
Large Cardamom,loam,maturation,22.1,24.56,74.99,15.81,Yes
potato,chalky,germination,36.81,18.33,52.45,1.97,No
radish,sandy,maturation,28.29,24.1,64.93,2.92,Yes
bananas,red,harvest,21.0,27.96,72.3,3.53,Yes
papaya,sandy,fruit/bulb formation,45.95,29.13,57.49,2.56,Yes
beans,red,germination,27.63,22.78,87.92,16.68,Yes
peas,alluvial,germination,23.36,32.9,56.67,4.36,Yes
Large Cardamom,sandy,flowering,40.43,17.62,69.7,4.33,Yes
beans,black,maturation,24.57,26.86,73.91,2.42,Yes
Paddy (rice),sandy,germination,36.6,15.47,67.17,4.85,Yes
peas,chalky,harvest,26.4,22.07,51.78,2.92,Yes
sweet potato,alluvial,maturation,28.22,30.82,67.37,1.65,No
bananas,sandy,harvest,31.07,28.95,52.42,1.96,No
sweet potato,alluvial,germination,31.32,16.64,42.2,0.07,No
Turmeric,black,fruit/bulb formation,44.52,19.67,47.49,1.5,No
Maize (corn),chalky,germination,29.23,21.25,82.99,3.44,Yes
Large Cardamom,loam,germination,24.7,16.7,64.84,4.43,Yes
beans,loam,fruit/bulb formation,38.19,27.02,82.57,15.27,Yes
potato,chalky,fruit/bulb formation,35.52,25.33,54.54,4.58,Yes
kiwi,alluvial,maturation,21.79,30.39,58.33,4.52,Yes
Large Cardamom,clay,harvest,19.45,32.64,86.27,0.78,No
Ginger,chalky,flowering,30.39,23.89,43.83,4.39,Yes
Large Cardamom,chalky,germination,37.42,19.57,69.07,1.58,No
radish,alluvial,harvest,19.45,15.27,65.85,1.78,No
tomato,clay,flowering,44.45,29.44,45.24,3.34,Yes
Maize (corn),red,germination,30.96,28.0,75.88,15.19,Yes
potato,black,fruit/bulb formation,49.28,34.49,85.69,3.56,Yes
beans,clay,flowering,41.1,18.88,46.36,4.99,Yes
sweet potato,sandy,fruit/bulb formation,53.48,22.74,48.98,2.22,Yes
cabbage,loam,flowering,37.31,30.59,77.53,4.91,Yes
mustard,clay,fruit/bulb formation,52.62,31.28,82.76,3.11,Yes
sweet potato,red,fruit/bulb formation,49.16,15.81,52.81,1.09,No
potato,chalky,germination,25.46,16.44,72.48,14.85,Yes
soyabeans,loam,fruit/bulb formation,32.32,23.08,48.03,3.67,Yes
sweet potato,sandy,maturation,27.31,16.49,84.74,7.09,Yes
potato,chalky,flowering,43.07,26.41,59.91,3.22,Yes
Paddy (rice),alluvial,flowering,47.54,29.92,72.65,11.35,Yes
Maize (corn),chalky,maturation,33.41,16.99,87.37,3.23,Yes
cabbage,clay,harvest,20.86,22.0,85.17,1.34,No
orange,clay,maturation,26.42,22.9,58.61,0.55,No
bananas,clay,harvest,16.9,34.66,70.17,0.37,No
Ginger,alluvial,maturation,17.93,25.7,45.31,2.98,Yes
bananas,alluvial,harvest,24.97,26.99,69.13,1.4,No
potato,loam,germination,24.97,32.46,71.42,2.08,Yes
potato,sandy,fruit/bulb formation,38.52,29.87,77.66,18.45,Yes
Large Cardamom,loam,flowering,34.66,34.08,78.59,4.62,Yes
Paddy (rice),black,germination,36.96,30.07,74.01,1.95,No
Maize (corn),alluvial,flowering,27.34,28.8,76.71,8.58,Yes
papaya,black,germination,32.39,20.01,78.43,17.7,Yes
peas,loam,flowering,39.0,30.77,85.25,3.33,Yes
orange,red,flowering,31.48,30.97,76.31,0.05,No
Ginger,sandy,fruit/bulb formation,44.03,27.99,68.97,1.43,No
Large Cardamom,chalky,flowering,34.5,19.4,63.27,2.43,Yes
radish,alluvial,fruit/bulb formation,43.61,33.39,48.34,1.19,No
beans,chalky,maturation,30.43,21.55,78.67,10.65,Yes
bananas,black,fruit/bulb formation,49.97,26.72,45.24,4.44,Yes
bananas,alluvial,harvest,31.13,20.53,82.81,12.79,Yes
radish,chalky,harvest,21.11,25.73,80.41,4.93,Yes
tomato,red,harvest,23.28,34.21,44.85,3.91,Yes
mustard,clay,maturation,35.67,27.48,83.27,2.75,Yes
sweet potato,chalky,fruit/bulb formation,40.14,28.49,41.04,4.53,Yes
potato,clay,harvest,22.4,17.51,86.83,9.96,Yes
mustard,sandy,flowering,38.6,25.0,78.63,13.4,Yes
mustard,red,fruit/bulb formation,43.39,27.15,75.41,19.85,Yes
bananas,clay,harvest,21.04,34.42,73.42,3.0,Yes
Large Cardamom,alluvial,harvest,18.95,22.76,55.99,2.65,Yes
kiwi,black,fruit/bulb formation,46.96,20.64,70.34,10.35,Yes
sweet potato,red,germination,28.61,27.34,46.42,4.27,Yes
mustard,sandy,maturation,30.26,30.15,47.45,4.35,Yes
peas,red,fruit/bulb formation,49.94,28.76,72.08,15.75,Yes
papaya,clay,harvest,29.92,28.62,58.95,0.98,No
soyabeans,alluvial,germination,29.5,19.97,54.71,0.52,No
papaya,clay,harvest,17.01,30.56,42.31,0.17,No
Turmeric,black,germination,35.33,31.78,63.49,1.63,No
peas,sandy,maturation,21.42,15.27,87.95,11.21,Yes
mustard,black,maturation,25.13,29.5,82.53,8.63,Yes
Maize (corn),loam,germination,27.84,17.36,70.83,14.78,Yes
potato,sandy,flowering,40.84,27.86,60.54,4.45,Yes
bananas,red,flowering,40.74,33.1,81.48,3.97,Yes
sweet potato,chalky,fruit/bulb formation,45.23,19.22,49.75,4.57,Yes
Large Cardamom,loam,fruit/bulb formation,37.93,27.46,64.49,4.97,Yes
Turmeric,clay,germination,28.15,29.43,74.85,11.04,Yes
Maize (corn),red,flowering,38.32,22.84,60.98,4.91,Yes
papaya,clay,flowering,39.5,30.85,61.23,1.11,No
Maize (corn),chalky,flowering,46.27,26.32,84.09,1.7,No
Paddy (rice),red,germination,35.96,29.45,72.48,17.52,Yes
mustard,clay,harvest,20.02,21.53,56.33,4.48,Yes
radish,red,fruit/bulb formation,33.54,24.63,44.6,3.8,Yes
Turmeric,chalky,maturation,23.48,18.94,87.99,5.88,Yes
peas,black,fruit/bulb formation,40.96,30.6,52.48,0.59,No
orange,chalky,flowering,33.91,26.74,75.73,11.49,Yes
bananas,black,maturation,21.46,28.29,63.45,0.27,No
peas,red,flowering,39.01,20.68,44.65,2.43,Yes
Turmeric,sandy,fruit/bulb formation,40.03,28.93,53.53,1.79,No
potato,red,maturation,31.53,26.06,82.33,8.33,Yes
Paddy (rice),sandy,flowering,32.49,34.38,50.21,1.66,No
cabbage,red,maturation,23.93,22.61,53.73,2.43,Yes
bananas,red,flowering,37.31,26.73,49.91,4.08,Yes
beans,clay,flowering,42.85,26.45,75.14,17.07,Yes
Large Cardamom,sandy,maturation,24.47,18.47,58.93,0.02,No
kiwi,red,maturation,20.59,26.23,49.69,1.9,No
Large Cardamom,red,fruit/bulb formation,38.9,22.99,66.12,0.67,No
Large Cardamom,clay,maturation,25.91,24.94,48.52,0.82,No
papaya,sandy,fruit/bulb formation,40.66,19.45,59.9,0.86,No
soyabeans,chalky,harvest,17.49,27.96,84.61,17.94,Yes
papaya,sandy,maturation,26.15,34.6,40.19,0.72,No
cabbage,chalky,fruit/bulb formation,44.41,34.05,49.44,3.64,Yes
potato,loam,fruit/bulb formation,39.71,32.08,68.7,2.83,Yes
kiwi,sandy,germination,22.35,15.48,68.33,2.45,Yes
potato,sandy,harvest,30.76,23.65,46.18,3.03,Yes
potato,loam,harvest,16.82,25.19,67.09,4.95,Yes
sweet potato,loam,maturation,25.85,19.26,67.63,1.86,No
cabbage,sandy,harvest,22.71,32.13,65.04,3.89,Yes
soyabeans,alluvial,flowering,44.02,16.7,86.06,3.18,Yes
Paddy (rice),clay,fruit/bulb formation,46.01,32.35,88.18,3.68,Yes
Large Cardamom,red,flowering,32.67,26.61,69.93,4.69,Yes
Turmeric,alluvial,germination,28.21,20.4,82.61,13.91,Yes
peas,chalky,harvest,14.33,26.02,60.01,0.52,No
kiwi,red,harvest,24.86,16.96,47.17,0.63,No
bananas,red,maturation,23.65,23.94,62.0,4.92,Yes
bananas,black,flowering,35.08,23.7,56.8,1.67,No
bananas,sandy,germination,36.69,19.67,57.76,3.51,Yes
Paddy (rice),clay,harvest,24.04,27.15,55.19,1.37,No
Large Cardamom,chalky,harvest,22.38,28.2,73.65,1.02,No
peas,clay,harvest,19.22,20.25,60.06,0.45,No
Large Cardamom,alluvial,flowering,42.41,15.78,75.3,6.72,Yes
kiwi,sandy,fruit/bulb formation,52.01,20.66,64.96,4.31,Yes
kiwi,clay,harvest,19.02,33.95,77.67,4.21,Yes
kiwi,black,germination,33.51,34.91,53.92,4.85,Yes
Paddy (rice),chalky,maturation,29.01,20.25,44.65,1.15,No
Turmeric,red,maturation,33.79,18.58,50.57,0.44,No
radish,sandy,maturation,28.97,17.35,53.17,1.5,No
orange,sandy,maturation,31.11,27.59,44.16,2.68,Yes
Large Cardamom,sandy,harvest,19.41,17.64,72.2,5.2,Yes
soyabeans,chalky,maturation,21.71,18.45,78.85,5.24,Yes
beans,alluvial,maturation,29.13,34.16,86.04,4.6,Yes
soyabeans,black,maturation,24.21,16.97,72.6,4.83,Yes
radish,sandy,germination,29.38,32.95,58.07,3.86,Yes
orange,red,germination,27.71,18.49,78.94,4.05,Yes
kiwi,red,fruit/bulb formation,41.15,17.55,86.95,14.64,Yes
orange,red,fruit/bulb formation,35.74,18.51,60.05,1.72,No
Maize (corn),sandy,maturation,25.98,18.2,52.59,1.4,No
beans,alluvial,maturation,27.73,24.78,41.21,1.67,No
Ginger,sandy,fruit/bulb formation,46.87,24.9,78.79,6.39,Yes
Turmeric,loam,harvest,31.05,16.7,68.21,3.28,Yes
orange,clay,maturation,17.24,28.4,45.83,2.82,Yes
bananas,alluvial,germination,35.11,17.03,84.19,13.01,Yes
Paddy (rice),clay,maturation,20.46,34.87,83.16,4.11,Yes
Turmeric,chalky,flowering,32.34,25.81,73.02,5.64,Yes
papaya,clay,harvest,24.53,16.72,89.21,18.4,Yes
Paddy (rice),black,flowering,38.1,34.39,48.73,0.0,No
Turmeric,black,fruit/bulb formation,42.77,28.19,74.24,10.1,Yes
Large Cardamom,alluvial,harvest,30.22,24.88,53.72,4.45,Yes
Large Cardamom,clay,harvest,21.4,25.24,49.77,1.04,No
cabbage,loam,flowering,36.79,20.17,51.45,4.59,Yes
tomato,sandy,flowering,34.7,20.8,63.53,1.62,No
papaya,red,harvest,18.07,29.41,72.73,13.0,Yes
Maize (corn),chalky,maturation,25.11,29.01,85.97,7.01,Yes
kiwi,black,fruit/bulb formation,50.61,18.26,75.96,1.31,No
tomato,red,harvest,25.16,27.94,68.64,0.08,No
potato,alluvial,germination,28.24,31.65,82.35,2.03,Yes
bananas,red,harvest,24.69,31.23,82.86,4.65,Yes
radish,sandy,harvest,25.31,20.19,86.16,16.21,Yes
kiwi,chalky,maturation,25.96,30.99,65.07,0.17,No
Ginger,clay,harvest,28.63,15.86,40.74,3.99,Yes
Ginger,loam,maturation,22.33,27.22,46.97,4.3,Yes
peas,alluvial,maturation,22.88,19.93,62.75,1.28,No
papaya,loam,maturation,29.26,32.15,45.99,1.29,No
peas,clay,harvest,12.14,19.38,73.86,18.97,Yes
radish,clay,fruit/bulb formation,45.15,25.94,60.77,1.34,No
Large Cardamom,alluvial,fruit/bulb formation,47.28,20.39,51.23,2.12,Yes
Turmeric,alluvial,germination,28.3,27.66,65.27,4.17,Yes
radish,chalky,maturation,31.15,25.53,81.42,17.81,Yes
tomato,sandy,flowering,37.16,32.7,89.02,4.73,Yes
beans,red,maturation,31.21,24.85,51.74,0.99,No
cabbage,chalky,flowering,48.37,27.01,83.91,6.24,Yes
peas,sandy,fruit/bulb formation,47.86,22.3,81.33,7.79,Yes
Large Cardamom,sandy,harvest,25.54,29.74,82.89,2.36,Yes
tomato,alluvial,maturation,31.55,23.6,82.7,8.23,Yes
peas,sandy,flowering,38.57,16.89,54.61,0.69,No
papaya,clay,fruit/bulb formation,50.66,24.67,81.89,15.16,Yes
radish,loam,fruit/bulb formation,45.07,31.53,52.12,0.38,No
Paddy (rice),alluvial,flowering,32.8,18.44,87.97,16.04,Yes
radish,sandy,flowering,36.87,16.93,47.12,0.84,No
papaya,chalky,fruit/bulb formation,44.72,31.94,73.08,1.82,No
cabbage,black,harvest,21.79,17.94,86.58,13.52,Yes
Maize (corn),chalky,fruit/bulb formation,40.92,26.48,71.65,14.59,Yes
mustard,clay,germination,31.38,19.0,68.45,2.23,Yes
peas,red,maturation,26.61,16.75,63.22,1.0,No
Large Cardamom,sandy,germination,30.69,31.31,54.22,1.13,No
beans,chalky,maturation,22.07,31.83,89.62,4.42,Yes
radish,sandy,harvest,26.03,24.2,57.25,1.73,No
orange,clay,maturation,38.06,26.53,76.95,13.55,Yes
Paddy (rice),black,maturation,32.29,34.54,46.18,1.58,No
bananas,red,germination,33.58,18.69,73.92,8.08,Yes
sweet potato,sandy,germination,34.31,19.52,46.35,2.69,Yes
kiwi,loam,flowering,42.69,18.91,57.63,4.39,Yes
peas,clay,maturation,27.12,22.82,83.68,4.15,Yes
Paddy (rice),loam,flowering,25.94,29.55,89.68,6.07,Yes
sweet potato,chalky,harvest,30.23,27.03,52.82,2.37,Yes
Turmeric,red,fruit/bulb formation,41.88,19.14,66.43,1.15,No
bananas,loam,maturation,21.08,24.14,47.33,0.66,No
radish,alluvial,germination,35.76,18.0,77.91,8.12,Yes
papaya,alluvial,harvest,26.35,28.62,81.07,11.7,Yes
mustard,clay,germination,32.05,28.29,86.17,15.07,Yes
sweet potato,red,maturation,32.84,27.73,55.31,0.51,No
tomato,black,harvest,19.65,15.72,89.97,18.81,Yes
bananas,red,flowering,31.21,34.54,71.27,0.08,No
Paddy (rice),sandy,harvest,22.15,33.68,63.95,0.9,No
sweet potato,loam,flowering,33.61,32.16,55.84,4.8,Yes
Ginger,loam,germination,27.42,31.23,54.51,0.56,No
bananas,clay,harvest,22.65,22.81,72.32,19.13,Yes
peas,alluvial,germination,29.96,27.35,45.45,2.95,Yes
cabbage,alluvial,harvest,27.12,31.71,62.23,4.33,Yes
potato,sandy,germination,31.68,25.4,80.75,14.41,Yes
Paddy (rice),clay,fruit/bulb formation,43.68,26.23,55.69,4.95,Yes
papaya,alluvial,maturation,27.14,34.82,65.63,4.26,Yes
Ginger,sandy,flowering,38.09,28.73,77.12,16.88,Yes
cabbage,loam,fruit/bulb formation,43.4,30.74,75.98,4.64,Yes
Maize (corn),alluvial,harvest,16.72,27.85,80.39,2.54,Yes
peas,loam,flowering,36.69,31.17,76.53,1.32,No
potato,black,harvest,13.16,27.17,58.95,0.21,No
Ginger,alluvial,fruit/bulb formation,44.67,23.18,52.84,2.02,Yes
cabbage,red,harvest,32.19,26.94,44.96,1.7,No
radish,sandy,germination,30.13,31.63,51.53,1.84,No
orange,red,flowering,38.0,27.4,78.24,5.07,Yes
papaya,red,maturation,23.12,33.82,44.54,0.87,No
sweet potato,black,germination,29.1,18.3,41.8,0.06,No
sweet potato,loam,flowering,30.24,24.53,58.49,2.94,Yes
bananas,alluvial,germination,35.38,22.06,88.44,6.61,Yes
orange,red,harvest,22.85,24.53,42.84,3.6,Yes
papaya,sandy,fruit/bulb formation,53.04,29.43,73.92,6.4,Yes
orange,chalky,maturation,19.92,15.78,88.97,4.04,Yes
beans,chalky,fruit/bulb formation,32.84,34.48,77.82,1.13,No
tomato,chalky,flowering,44.48,16.81,40.39,4.34,Yes
cabbage,black,harvest,24.71,26.2,70.65,11.37,Yes
potato,chalky,flowering,37.0,15.37,82.7,17.08,Yes
mustard,clay,flowering,49.45,21.41,52.21,4.53,Yes
Large Cardamom,red,maturation,19.66,31.93,60.33,0.75,No
Turmeric,chalky,fruit/bulb formation,42.58,21.98,43.26,4.38,Yes
Large Cardamom,sandy,flowering,42.85,31.89,75.9,0.92,No
peas,alluvial,harvest,24.1,28.44,75.87,16.75,Yes
orange,sandy,germination,35.13,18.19,45.32,4.27,Yes
Paddy (rice),clay,maturation,29.85,18.79,87.89,13.31,Yes
bananas,red,maturation,25.9,22.82,44.11,3.44,Yes
tomato,sandy,fruit/bulb formation,45.07,34.73,89.69,3.47,Yes
cabbage,alluvial,maturation,28.85,16.3,89.11,5.28,Yes
cabbage,red,harvest,19.09,20.14,88.97,13.78,Yes
Paddy (rice),sandy,flowering,31.18,21.94,54.27,2.84,Yes
radish,loam,flowering,39.07,26.78,61.52,3.67,Yes
bananas,red,fruit/bulb formation,38.66,32.49,45.68,0.95,No
Large Cardamom,red,maturation,24.76,23.97,65.1,0.22,No
radish,chalky,harvest,28.06,26.95,65.94,4.61,Yes
Large Cardamom,clay,maturation,18.31,27.98,44.52,4.73,Yes
tomato,sandy,germination,26.17,23.8,60.12,3.38,Yes
beans,loam,maturation,33.11,26.67,68.26,3.91,Yes
kiwi,clay,fruit/bulb formation,51.9,29.87,73.21,7.36,Yes
potato,red,maturation,33.49,20.66,47.82,4.71,Yes
soyabeans,chalky,fruit/bulb formation,40.43,22.22,49.44,2.13,Yes
radish,sandy,germination,30.13,23.28,87.52,4.15,Yes
mustard,sandy,germination,26.12,17.3,81.02,7.52,Yes
Large Cardamom,sandy,germination,29.77,34.27,81.23,4.07,Yes
cabbage,black,germination,35.81,23.17,69.14,2.11,Yes
soyabeans,alluvial,fruit/bulb formation,46.97,25.84,41.65,4.36,Yes
Ginger,loam,fruit/bulb formation,42.28,33.66,88.87,1.12,No
soyabeans,sandy,germination,31.12,34.64,50.69,2.84,Yes
peas,loam,maturation,17.16,18.13,40.38,3.97,Yes
radish,chalky,germination,35.21,30.61,80.98,1.63,No
mustard,chalky,maturation,24.63,31.11,76.21,0.81,No
Turmeric,sandy,flowering,37.32,17.34,85.89,5.03,Yes
radish,chalky,fruit/bulb formation,40.06,22.17,76.7,7.16,Yes
beans,loam,fruit/bulb formation,40.56,15.35,79.85,13.88,Yes
papaya,loam,harvest,20.12,34.12,54.12,1.98,No
mustard,red,harvest,25.66,31.11,61.78,1.96,No
soyabeans,chalky,fruit/bulb formation,38.45,27.28,71.75,13.88,Yes
tomato,clay,fruit/bulb formation,38.78,27.79,47.7,0.39,No
Ginger,loam,germination,22.87,34.23,79.76,2.1,Yes
potato,alluvial,harvest,20.35,33.51,60.86,4.46,Yes
Ginger,red,harvest,29.0,17.2,72.09,16.61,Yes
potato,alluvial,flowering,35.59,32.36,57.28,3.4,Yes
Paddy (rice),alluvial,harvest,15.53,17.41,81.33,17.92,Yes
potato,black,maturation,36.81,28.08,87.93,10.81,Yes
kiwi,red,maturation,24.64,29.95,59.03,4.12,Yes
tomato,alluvial,maturation,29.5,16.06,89.65,10.78,Yes
Turmeric,clay,fruit/bulb formation,37.74,18.5,57.07,0.78,No
Ginger,sandy,harvest,20.84,23.56,73.69,16.04,Yes
Paddy (rice),sandy,fruit/bulb formation,51.41,15.15,51.86,0.65,No
beans,sandy,maturation,30.71,27.97,46.78,3.75,Yes
peas,black,germination,24.1,26.16,77.03,4.08,Yes
Ginger,black,maturation,17.56,34.84,40.73,0.39,No
Large Cardamom,red,harvest,26.98,15.07,75.92,7.03,Yes
radish,chalky,flowering,35.27,22.08,40.79,3.22,Yes
radish,alluvial,fruit/bulb formation,41.92,17.15,65.11,4.12,Yes
mustard,clay,germination,33.6,26.12,69.49,2.26,Yes
Paddy (rice),black,flowering,42.79,21.65,79.31,11.66,Yes
cabbage,alluvial,harvest,25.78,28.7,87.39,17.18,Yes
sweet potato,loam,maturation,35.22,20.47,50.81,2.43,Yes
Paddy (rice),chalky,harvest,24.4,25.84,55.33,1.35,No
potato,black,flowering,36.81,27.47,62.21,0.05,No
beans,loam,flowering,45.84,27.95,53.0,2.66,Yes
peas,loam,flowering,35.72,15.98,77.64,18.16,Yes
soyabeans,chalky,fruit/bulb formation,33.52,17.91,83.59,18.83,Yes
Ginger,black,harvest,22.7,25.41,68.43,3.24,Yes
beans,alluvial,flowering,38.49,16.97,79.07,4.26,Yes
peas,chalky,germination,26.2,17.68,68.97,0.73,No
bananas,black,maturation,22.55,23.25,83.93,19.76,Yes
Maize (corn),loam,harvest,15.27,21.94,76.18,2.25,Yes
kiwi,red,harvest,15.53,33.65,52.19,2.49,Yes
potato,loam,germination,34.84,18.8,72.62,10.05,Yes
Paddy (rice),red,maturation,34.87,33.47,54.18,2.72,Yes
potato,red,fruit/bulb formation,38.2,21.63,89.73,3.67,Yes
soyabeans,loam,flowering,30.18,28.49,68.03,4.41,Yes
Ginger,sandy,germination,33.66,22.03,72.86,11.84,Yes
sweet potato,chalky,flowering,31.78,33.1,46.68,2.47,Yes
sweet potato,black,germination,25.79,16.66,73.98,10.0,Yes
potato,black,germination,23.22,17.35,68.43,1.0,No
sweet potato,clay,fruit/bulb formation,48.13,26.9,71.0,2.01,Yes
Maize (corn),sandy,germination,28.85,29.03,75.16,15.46,Yes
beans,sandy,flowering,45.82,29.86,59.91,3.91,Yes
mustard,sandy,germination,37.42,27.53,58.59,4.17,Yes
mustard,chalky,fruit/bulb formation,35.05,25.2,60.28,1.12,No
mustard,chalky,fruit/bulb formation,51.02,34.44,44.06,2.55,Yes
potato,sandy,fruit/bulb formation,33.2,18.59,58.05,0.37,No
tomato,black,germination,33.72,27.15,72.58,13.57,Yes
papaya,loam,flowering,36.42,23.55,60.31,4.94,Yes
Paddy (rice),alluvial,fruit/bulb formation,35.69,24.04,78.28,14.41,Yes
Turmeric,clay,fruit/bulb formation,46.75,33.32,48.69,1.99,No
tomato,clay,fruit/bulb formation,40.99,25.69,58.72,1.45,No
peas,alluvial,flowering,42.21,29.23,56.02,0.66,No
cabbage,alluvial,fruit/bulb formation,40.43,19.05,75.99,5.32,Yes
Turmeric,clay,harvest,18.12,23.67,79.16,15.44,Yes
beans,red,fruit/bulb formation,44.68,34.04,77.54,0.18,No
radish,chalky,fruit/bulb formation,45.92,28.51,69.11,4.34,Yes
Paddy (rice),loam,harvest,15.97,29.2,67.43,3.93,Yes
beans,chalky,fruit/bulb formation,46.39,26.71,41.98,1.6,No
sweet potato,clay,fruit/bulb formation,38.14,26.43,66.04,1.93,No
bananas,loam,harvest,18.44,16.46,79.76,3.41,Yes
potato,clay,harvest,27.26,22.24,84.79,2.55,Yes
radish,black,germination,26.14,18.96,56.22,4.12,Yes
soyabeans,loam,maturation,23.9,24.65,42.18,3.91,Yes
Ginger,clay,fruit/bulb formation,42.04,19.66,69.68,0.38,No
tomato,sandy,harvest,16.02,17.71,75.59,13.1,Yes
papaya,black,maturation,23.98,31.96,48.82,3.65,Yes
soyabeans,clay,flowering,39.31,30.35,49.7,4.34,Yes
Paddy (rice),sandy,flowering,31.42,25.26,77.76,14.34,Yes
kiwi,loam,germination,30.51,19.97,48.18,2.33,Yes
sweet potato,alluvial,fruit/bulb formation,36.84,33.56,53.81,4.62,Yes
papaya,chalky,fruit/bulb formation,44.78,23.72,60.16,1.09,No
Ginger,chalky,germination,38.91,16.95,88.58,6.14,Yes
beans,loam,maturation,21.75,27.32,48.7,4.49,Yes
Large Cardamom,clay,harvest,22.19,26.29,63.81,0.44,No
Paddy (rice),black,harvest,16.02,18.68,62.75,1.66,No
soyabeans,loam,harvest,21.34,25.79,60.21,1.2,No
orange,loam,harvest,14.51,17.53,73.72,13.53,Yes
sweet potato,loam,flowering,31.31,21.83,67.24,0.43,No
tomato,loam,flowering,35.99,31.29,58.24,4.26,Yes
bananas,chalky,fruit/bulb formation,43.63,16.88,52.14,3.26,Yes
Large Cardamom,sandy,harvest,21.93,28.57,87.74,18.22,Yes
orange,black,maturation,38.23,16.02,49.57,2.48,Yes
beans,clay,flowering,40.53,34.24,86.0,4.96,Yes
sweet potato,black,harvest,28.72,22.48,79.0,16.69,Yes
Maize (corn),chalky,fruit/bulb formation,52.06,20.1,48.1,4.66,Yes
tomato,loam,fruit/bulb formation,49.6,25.45,61.29,3.83,Yes
peas,chalky,fruit/bulb formation,43.13,28.72,67.93,0.28,No
Paddy (rice),black,flowering,49.17,31.61,57.03,3.75,Yes
soyabeans,sandy,harvest,27.24,18.3,62.26,3.69,Yes
bananas,sandy,fruit/bulb formation,32.85,30.98,81.94,0.64,No
sweet potato,black,maturation,25.53,29.98,89.23,12.02,Yes
cabbage,red,fruit/bulb formation,45.55,23.48,62.54,3.72,Yes
peas,loam,harvest,22.59,26.27,55.85,2.83,Yes
peas,black,flowering,39.87,19.76,65.66,0.33,No
Maize (corn),loam,germination,36.94,34.15,43.26,1.61,No
radish,chalky,harvest,32.35,25.03,42.25,3.56,Yes
bananas,sandy,flowering,31.85,17.3,51.32,4.58,Yes
radish,alluvial,fruit/bulb formation,48.91,29.22,53.79,2.07,Yes
cabbage,red,fruit/bulb formation,41.57,16.04,52.18,3.74,Yes
mustard,red,harvest,22.03,18.05,74.13,9.11,Yes
potato,alluvial,maturation,19.64,17.77,77.48,1.77,No
Turmeric,loam,maturation,21.65,30.02,65.29,3.58,Yes
Paddy (rice),red,maturation,28.34,21.74,66.25,0.4,No
sweet potato,red,maturation,31.49,18.35,51.58,3.44,Yes
Turmeric,clay,fruit/bulb formation,39.76,16.24,84.91,3.36,Yes
papaya,sandy,maturation,29.73,27.2,64.48,4.28,Yes
potato,chalky,harvest,19.52,32.48,69.86,0.36,No
kiwi,black,flowering,42.83,31.23,67.45,4.43,Yes
bananas,black,fruit/bulb formation,46.78,17.67,87.33,11.71,Yes
Maize (corn),loam,harvest,22.94,19.11,47.34,1.0,No
radish,red,fruit/bulb formation,39.62,26.6,43.25,4.28,Yes
Ginger,loam,fruit/bulb formation,39.7,28.48,68.44,4.96,Yes
beans,chalky,harvest,19.87,31.62,44.04,3.68,Yes
kiwi,black,harvest,15.68,22.6,41.05,4.05,Yes
soyabeans,alluvial,maturation,20.86,24.85,65.95,0.38,No
radish,black,harvest,25.99,17.59,72.34,5.73,Yes
Ginger,alluvial,harvest,12.1,22.91,80.75,3.42,Yes
Large Cardamom,red,flowering,40.22,17.29,63.11,2.67,Yes
Turmeric,sandy,fruit/bulb formation,38.3,33.11,84.72,1.35,No
tomato,red,harvest,21.84,27.5,69.86,0.77,No
beans,red,germination,32.13,18.93,68.94,0.11,No
